entered_by,study,pub_reference,pub_year,decade,exp_type,reps,pooled_Y.N,study_duration,sample_size,wgt,loc_citystate,loc_state,lat,long,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,tillage_sys,cc_plant.DOY,cc_plant.kgha,cc_pMETH,cc_term.DOY,cc_term.METH,cc_term.METH2,add_herb,cc_bio_Mgha,crop,crop_plant.DOY,term.plant.diff,weed type,weed.sing.com,weed.spp,LRRden,LRRyield
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Crimson clover,legume,no-till,NA,45,drilled,NA,herbicide,H,Y,2.8,cotton,NA,NA,summer annual,community,NA,1.493925025,0.024097552
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Hairy vetch,legume,no-till,NA,135,drilled,NA,herbicide,H,Y,2.3,cotton,NA,NA,summer annual,community,NA,1.984131362,-0.578077851
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Cereal rye,grass,no-till,NA,35,drilled,NA,herbicide,H,Y,1.1,cotton,NA,NA,summer annual,community,NA,1.265666373,0.261425738
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Crimson clover,legume,no-till,NA,45,drilled,NA,herbicide,H,Y,2.8,cotton,NA,NA,summer annual,community,NA,1.156069344,0
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Hairy vetch,legume,no-till,NA,135,drilled,NA,herbicide,H,Y,2.3,cotton,NA,NA,summer annual,community,NA,0.883500909,0.020050797
DW,3,"Brown and Whitwell, 1985",1985,1981-1990,Split plot,4,N,3,24,12,"Belle Mina, AL",AL,34.656545,-86.879299,NA,1.5,silt loam,NA,Cereal rye,grass,no-till,NA,35,drilled,NA,herbicide,H,Y,1.1,cotton,NA,NA,summer annual,community,NA,1.41412916,-0.12095261
DW,4,"DeVore et al., 2012",2012,2011-2020,RCBD,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,no-till,322,67,drilled,125,herbicide,H,Y,NA,cotton,139,14,summer annual,single,Amaranthus palmeri,-1.076139433,-0.017687055
DW,4,"DeVore et al., 2012",2012,2011-2020,RCBD,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,tillage,322,67,drilled,125,herbicide,H,Y,NA,cotton,139,14,summer annual,single,Amaranthus palmeri,-0.980829253,-0.054287967
DW,4,"DeVore et al., 2012",2012,2011-2020,RCBD,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,no-till,324,67,drilled,126,herbicide,H,Y,NA,cotton,140,14,summer annual,single,Amaranthus palmeri,-1.216395324,0.092085466
DW,4,"DeVore et al., 2012",2012,2011-2020,RCBD,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,tillage,324,67,drilled,126,herbicide,H,Y,NA,cotton,140,14,summer annual,single,Amaranthus palmeri,-1.30833282,0.016836141
DW,5,"DeVore et al., 2013",2013,2011-2020,Split plot,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,no-till,322,67,drilled,133,herbicide,H,Y,NA,soybean,140,7,summer annual,single,Amaranthus palmeri,-0.731967172,-0.04883457
DW,5,"DeVore et al., 2013",2013,2011-2020,Split plot,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,tillage,322,67,drilled,133,herbicide,H,Y,NA,soybean,140,7,summer annual,single,Amaranthus palmeri,-3.583518938,-0.008429057
DW,5,"DeVore et al., 2013",2013,2011-2020,Split plot,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,no-till,324,67,drilled,147,herbicide,H,Y,NA,soybean,154,7,summer annual,single,Amaranthus palmeri,-1.271081549,0.034730179
DW,5,"DeVore et al., 2013",2013,2011-2020,Split plot,4,N,2,8,4,"Marianna, AR",AR,34.773562,-90.757488,NA,1.5,silt loam,6.2,Cereal rye,grass,tillage,324,67,drilled,147,herbicide,H,Y,NA,soybean,154,7,summer annual,single,Amaranthus palmeri,0,0.140606455
NB,6,Hand et al. 2019,2019,2011-2020,RCBD,4,Y,3,12,6,NA,GA,NA,NA,NA,NA,NA,NA,Cereal rye,grass,NA,NA,100,drilled,NA,herbicide + roll,D,Y,NA,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.69488932,0.178752103
NB,6,Hand et al. 2019,2019,2011-2020,RCBD,4,Y,3,12,6,NA,GA,NA,NA,NA,NA,NA,NA,Cereal rye,grass,NA,NA,100,drilled,NA,herbicide + roll,D,Y,NA,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.950942606,0.160083234
NB,6,Hand et al. 2019,2019,2011-2020,RCBD,4,Y,3,12,6,NA,GA,NA,NA,NA,NA,NA,NA,Cereal rye,grass,NA,NA,100,drilled,NA,herbicide + roll,D,Y,NA,cotton,NA,NA,summer annual,single,Amaranthus palmeri,1.089233349,0.065275441
VS,7,"Koger et al., 2002",2002,2011-2020,Split-Split Plot,4,Y,3,96,48,"Stoneville, MS",MS,33.424,-90.9151,NA,1.1,silt loam,6.3,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,Y,NA,soybean,NA,NA,summer annual,community,NA,0.304611135,-0.184093036
VS,7,"Koger et al., 2002",2002,2011-2020,Split-Split Plot,4,Y,3,24,12,"Stoneville, MS",MS,33.424,-90.9151,NA,1.1,silt loam,6.3,Cereal rye,grass,no-till,NA,80,drilled,NA,herbicide,H,N,NA,soybean,NA,NA,summer annual,community,NA,0.244196961,-0.184093036
VS,8,"Koger et al., 2005",2005,2011-2020,Split-Split Plot,4,Y,2,24,12,"Stoneville, MS",MS,33.424,-90.9151,NA,NA,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.3,corn,NA,0,summer annual,community,NA,-0.800348107,0.063564743
VS,8,"Koger et al., 2005",2005,2011-2020,Split-Split Plot,4,Y,2,24,12,"Stoneville, MS",MS,33.424,-90.9151,NA,NA,silt loam,6.3,Hairy vetch,legume,no-till,NA,30,drilled,NA,herbicide,H,Y,2.3,corn,NA,0,summer annual,community,NA,-0.566733256,-0.067286082
VS,9,"Lassiter et al., 2011",2011,2011-2020,Split-Plot,4,Y,3,12,6,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,6.1,Cereal rye,grass,strip till,NA,NA,broadcast,NA,herbicide,H,Y,NA,peanut,NA,NA,"summer annual, summer perennial",community,NA,-0.373376794,NA
VS,9,"Lassiter et al., 2011",2011,2011-2020,Split-Plot,4,Y,3,12,6,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,6.1,Italian ryegrass,grass,strip till,NA,NA,broadcast,NA,herbicide,H,Y,NA,peanut,NA,NA,"summer annual, summer perennial",community,NA,-0.362905494,NA
VS,9,"Lassiter et al., 2011",2011,2011-2020,Split-Plot,4,Y,3,12,6,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,6.1,Oat,grass,strip till,NA,NA,broadcast,NA,herbicide,H,Y,NA,peanut,NA,NA,"summer annual, summer perennial",community,NA,-0.416394179,NA
VS,9,"Lassiter et al., 2011",2011,2011-2020,Split-Plot,4,Y,3,12,6,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,6.1,Triticale,grass,strip till,NA,NA,broadcast,NA,herbicide,H,Y,NA,peanut,NA,NA,"summer annual, summer perennial",community,NA,-0.044451763,NA
VS,9,"Lassiter et al., 2011",2011,2011-2020,Split-Plot,4,Y,3,12,6,"Rocky Mount, NC",NC,35.937045,-77.791513,NA,NA,sandy loam,6.1,Wheat,grass,strip till,NA,NA,broadcast,NA,herbicide,H,Y,NA,peanut,NA,NA,"summer annual, summer perennial",community,NA,-0.029413885,NA
VS,10,"Malik et al., 2008",2008,2001-2010,Split plot,4,Y,2,8,4,"Blackville, SC",SC,33.356101,-81.270396,NA,0.6,sandy loam,6,Cereal rye,grass,strip till,NA,90,drilled,NA,mow,M,N,2.3,corn,NA,NA,summer annual,community,NA,0.053109825,0.251314428
VS,10,"Malik et al., 2008",2008,2001-2010,Split plot,4,Y,2,8,4,"Blackville, SC",SC,33.356101,-81.270396,NA,0.6,sandy loam,6,Wild radish,brassica,strip till,NA,34,broadcast,NA,mow,M,N,2.6,corn,NA,NA,summer annual,community,NA,-0.027651531,1.098612289
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,302,NA,drilled,125,herbicide,H,Y,NA,soybean,138,13,summer annual,single,Amaranthus palmeri,-0.295845383,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,118,herbicide,H,Y,NA,soybean,136,18,summer annual,single,Amaranthus palmeri,-0.550972692,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,144,herbicide,H,Y,NA,soybean,165,21,summer annual,single,Amaranthus palmeri,-0.878768293,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,302,NA,drilled,125,herbicide,H,Y,NA,soybean,138,13,summer annual,single,Amaranthus palmeri,0.566395475,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,118,herbicide,H,Y,NA,soybean,136,18,summer annual,single,Amaranthus palmeri,-0.510825624,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,144,herbicide,H,Y,NA,soybean,165,21,summer annual,single,Amaranthus palmeri,-0.994622575,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,302,NA,drilled,125,herbicide,H,Y,NA,soybean,138,13,summer annual,single,Amaranthus palmeri,-2.995732274,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,118,herbicide,H,Y,NA,soybean,136,18,summer annual,single,Amaranthus palmeri,0.405465108,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,N,3,3,1.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,144,herbicide,H,Y,NA,soybean,165,21,summer annual,single,Amaranthus palmeri,1.098612289,NA
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,Y,3,9,4.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,302,NA,drilled,125,herbicide,H,Y,NA,soybean,138,13,summer annual,single,Amaranthus palmeri,-0.161030834,0.040281308
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,Y,3,9,4.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,118,herbicide,H,Y,NA,soybean,136,18,summer annual,single,Amaranthus palmeri,-0.144581229,-0.088764226
VS,12,"Norsworthy et al., 2016",2016,2011-2020,Split Plot,3,Y,3,9,4.5,"Keiser, AR",AR,35.674189,-90.100069,NA,NA,clay,NA,Cereal rye,grass,no-till,307,NA,drilled,144,herbicide,H,Y,NA,soybean,165,21,summer annual,single,Amaranthus palmeri,-0.36112599,-0.053329043
DW,13,"Palhano et al., 2018",2018,2011-2020,RCBD,4,Y,2,8,4,"Fayetteville, AR",AR,36.080568,-94.172139,NA,NA,silt loam,NA,Austrian winter pea,legume,tillage,NA,84,drilled,NA,herbicide,H,Y,3.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.306031211,-0.10880286
DW,13,"Palhano et al., 2018",2018,2011-2020,RCBD,4,Y,2,8,4,"Fayetteville, AR",AR,36.080568,-94.172139,NA,NA,silt loam,NA,Crimson clover,legume,tillage,NA,22,drilled,NA,herbicide,H,Y,3.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.37634771,-0.05655217
DW,13,"Palhano et al., 2018",2018,2011-2020,RCBD,4,Y,2,8,4,"Fayetteville, AR",AR,36.080568,-94.172139,NA,NA,silt loam,NA,Hairy vetch,legume,tillage,NA,17,drilled,NA,herbicide,H,Y,3.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.518430223,-0.045702153
DW,13,"Palhano et al., 2018",2018,2011-2020,RCBD,4,Y,2,8,4,"Fayetteville, AR",AR,36.080568,-94.172139,NA,NA,silt loam,NA,Cereal rye,grass,tillage,NA,90,drilled,NA,herbicide,H,Y,4.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.756041387,-0.46931658
DW,13,"Palhano et al., 2018",2018,2011-2020,RCBD,4,Y,2,8,4,"Fayetteville, AR",AR,36.080568,-94.172139,NA,NA,silt loam,NA,Oat,grass,tillage,NA,90,drilled,NA,herbicide,H,Y,3.5,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.049822124,-0.226585896
DW,13,"Palhano et al., 2018",2018,2011-2020,RCBD,4,Y,2,8,4,"Fayetteville, AR",AR,36.080568,-94.172139,NA,NA,silt loam,NA,Winter wheat,grass,tillage,NA,90,drilled,NA,herbicide,H,Y,4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.481604541,-0.36505557
DW,13,"Palhano et al., 2018",2018,2011-2020,RCBD,4,Y,2,8,4,"Fayetteville, AR",AR,36.080568,-94.172139,NA,NA,silt loam,NA,Rapeseed,brassica,tillage,NA,11,drilled,NA,herbicide,H,Y,3.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.711496319,-0.093593441
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.855340133,0.015861166
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.491019244,0.113476026
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.281835626,0.035962346
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,9.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.488054936,-0.134597591
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.8,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.047649296,-0.368212442
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.335381367,-0.307326748
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,0.370380685,0.470074529
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.6,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.594687711,0.48205494
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Bella Mina, AL",AL,34.656545,-86.879299,NA,NA,silty loam,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.659238732,0.300503664
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,8.4,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-2.113575219,0.296955709
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.014962931,0.253726975
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,4.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.072121344,0.180853952
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.3,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.286356087,0.130949292
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,7.7,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.438692106,-0.02853532
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,5.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.764718663,-0.020845932
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,10.9,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.435084525,-0.051672011
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,9.2,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-1.147412453,-0.006702784
VS,14,"Price et al., 2012",2012,2011-2020,Split Plot,3,Y,3,12,6,"Shorter, AL",AL,32.395032,-85.918986,NA,NA,loamy sand,NA,Cereal rye,grass,no-till,NA,100,drilled,NA,herbicide + roll,D,Y,6.1,cotton,NA,NA,summer annual,single,Amaranthus palmeri,-0.587792379,0.018330452
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Barbour, AL",AL,31.849944,-85.405533,NA,NA,NA,NA,Cereal rye,grass,no-till,319,41,drilled,120,herbicide + roll,D,Y,3.1,cotton,137,17,summer annual,single,Amaranthus palmeri,-1.225855516,-0.089856329
VS,15,"Price et al., 2016",2016,2011-2020,RCBD,3,N,1,3,1.5,"Barbour, AL",AL,31.849944,-85.405533,NA,NA,NA,NA,Cereal rye,grass,no-till,364,41,drilled,123,herbicide + roll,D,Y,0.6,cotton,137,14,summer annual,single,Amaranthus palmeri,-0.824175443,0.09823844
